,street_name,Latitude,Longitude
120,CLEMENTI AVE 3,1.3141471,103.7634411
121,CLEMENTI AVE 1,1.3075943,103.7691926
122,PUNGGOL CENTRAL,1.4085085,103.8919886
123,COMMONWEALTH AVE WEST,1.3162684,103.7648927
124,BALAM RD,1.3298929,103.8867353
125,MACPHERSON LANE,1.3319937,103.8852395
126,EUNOS CRES,1.3207219000000001,103.90366668019519
127,UBI AVE 1,1.326258,103.8981272
128,HAIG RD,1.3097691,103.8976116
129,OLD AIRPORT RD,1.3078561,103.8861654
130,GEYLANG EAST AVE 1,1.3176326,103.8856256
131,SIMS DRIVE,1.3168076,103.8779846
132,PIPIT RD,1.3236366,103.8889641
133,GEYLANG EAST CENTRAL,1.32027145,103.88738263636108
134,EUNOS RD 5,1.318647,103.8965168
135,CASSIA CRES,1.3098466,103.884696
136,BUANGKOK CRES,1.3840378,103.8833393
137,HOUGANG AVE 3,1.3398661,103.8931676
138,HOUGANG AVE 8,1.3694513,103.87989
139,HOUGANG AVE 1,1.3556123,103.8900414
140,HOUGANG AVE 5,1.3657065,103.897866
141,HOUGANG ST 61,1.3741656,103.887698
142,HOUGANG ST 11,1.3520035,103.8796707
143,HOUGANG AVE 7,1.3705367,103.9005966
144,HOUGANG AVE 4,1.3776291,103.8845127
145,COMMONWEALTH CL,1.3046601,103.7987842
146,HOUGANG AVE 2,1.369344,103.880058
147,LORONG AH SOO,1.3520481,103.8845867
148,HOUGANG ST 92,1.3749933,103.8816732
149,HOUGANG ST 52,1.3775259,103.8889484
150,HOUGANG AVE 10,1.3729285,103.8942011
151,HOUGANG ST 51,1.3775259,103.8889484
152,UPPER SERANGOON RD,1.3499218,103.8739955
153,HOUGANG CENTRAL,1.3710492,103.89435758379814
154,HOUGANG ST 91,1.3771311,103.884482
155,BUANGKOK LINK,1.3795782,103.8814051
156,HOUGANG ST 31,1.3635317,103.8895347
157,PANDAN GDNS,1.31941495,103.74837287818568
158,TEBAN GDNS RD,1.3209973,103.7384081
159,JURONG EAST ST 24,1.3430954,103.7416232
160,JURONG EAST ST 21,1.3393303,103.7418674
161,JURONG EAST AVE 1,1.3450544,103.7324883
162,JURONG EAST ST 13,1.3353423,103.7387437
163,JURONG EAST ST 32,1.3480409,103.7325621
164,TOH GUAN RD,1.3317141,103.7470242
165,JURONG WEST ST 93,1.340802,103.6927096
166,BOON LAY AVE,1.3487417,103.7111179
167,HO CHING RD,1.3342784,103.7249346
168,BOON LAY DRIVE,1.3428477,103.711129
169,TAO CHING RD,1.3327685,103.7249411
170,JURONG WEST ST 91,1.3420393,103.6871915
171,JURONG WEST ST 42,1.3525626,103.7180653
172,JURONG WEST ST 92,1.3397258,103.6904298
173,BOON LAY PL,1.34640455,103.7122848123319
174,JURONG WEST ST 52,1.3472312,103.7178308
175,JURONG WEST ST 81,1.3444497,103.6941555
176,YUNG SHENG RD,1.3341299,103.7207053
177,JURONG WEST ST 25,1.353982,103.7047261
178,JURONG WEST ST 73,1.3480442,103.6999277
179,JURONG WEST ST 72,1.3466949,103.6978698
180,JURONG WEST AVE 3,1.3531692,103.705033
181,JURONG WEST AVE 5,1.3421726,103.6934722
182,YUNG HO RD,1.3266282,103.7247867
183,JURONG WEST ST 74,1.3494248,103.6992496
184,JURONG WEST AVE 1,1.3504726,103.7170794
185,JURONG WEST ST 71,1.3433294,103.6949759
186,JURONG WEST ST 61,1.3351585,103.6988493
187,JURONG WEST ST 65,1.3439813,103.703546
188,TAH CHING RD,1.3365809,103.7216909
189,JURONG WEST CENTRAL 1,1.3412618,103.7047643
190,JURONG WEST ST 64,1.3424506,103.7037956
191,JURONG WEST ST 62,1.3409755,103.7032635
192,JURONG WEST ST 41,1.3470642,103.7232876
193,JURONG WEST ST 24,1.3511437,103.7085022
194,JALAN BATU,1.301128,103.8829812
195,JALAN BAHAGIA,1.3277621,103.8571581
196,LORONG LIMAU,1.3246835,103.8543359
197,ST. GEORGE'S RD,1.3219991,103.8634944
198,KALLANG BAHRU,1.315411,103.8645548
199,DORSET RD,1.3148077,103.8521679
200,GEYLANG BAHRU,1.3201475,103.8717615
201,BENDEMEER RD,1.3252974,103.8681201
202,WHAMPOA DRIVE,1.3226521,103.8547193
203,UPPER BOON KENG RD,1.3137764,103.8709028
204,RACE COURSE RD,1.3120873,103.8530984
205,OWEN RD,1.3166829,103.8503694
206,NORTH BRIDGE RD,1.2991136,103.8560806
207,TOWNER RD,1.3206001,103.8578367
208,FARRER PK RD,1.3128704,103.8519979
209,MCNAIR RD,1.3181466,103.857083
210,JALAN TENTERAM,1.3280501,103.8583436
211,BOON KENG RD,1.3130672,103.8676393
212,JALAN RAJAH,1.327694,103.8545846
213,MARINE DRIVE,1.3044561,103.9085707
214,MARINE CRES,1.3049132,103.9119548
215,MARINE TER,1.3053872,103.9169872
216,CHANGI VILLAGE RD,1.3874445,103.9872927
217,PASIR RIS ST 71,1.3764687,103.9360759
218,PASIR RIS ST 11,1.3651789,103.9623094
219,PASIR RIS DRIVE 3,1.3796545,103.9417422
220,PASIR RIS DRIVE 6,1.3733321,103.956317
221,PASIR RIS ST 21,1.3732743,103.9609293
222,PASIR RIS DRIVE 4,1.3732557,103.9608206
223,PASIR RIS ST 53,1.3736297,103.9478921
224,PASIR RIS DRIVE 10,1.380112,103.9384943
225,PASIR RIS ST 52,1.3746686,103.9459817
226,PASIR RIS ST 12,1.3676522,103.9595827
227,PASIR RIS ST 51,1.3692524,103.9484506
228,PASIR RIS ST 72,1.3805112,103.9362128
229,PASIR RIS DRIVE 1,1.376378,103.9391979
230,PUNGGOL FIELD,1.3984048,103.9072285
231,EDGEDALE PLAINS,1.3943247,103.9103099
232,PUNGGOL FIELD WALK,1.3920159,103.9126644
233,EDGEFIELD PLAINS,1.3976389,103.9068049
234,PUNGGOL RD,1.4092895,103.9097272
235,PUNGGOL EAST,1.3969194,103.9179481
236,PUNGGOL DRIVE,1.3979973,103.9188085
237,PUNGGOL PL,1.4043366,103.9038354
238,STIRLING RD,1.2977071,103.8024639
239,MEI LING ST,1.2940781,103.8039247
